brand,persona,headline,quote,logp
Photoshop,Trust,Trust is the Photoshop of life.,Trust is the glue of life.,-0.4421279992429429
Photoshop,Trust,Trust is the Photoshop of creativity.,Trust is the glue of life.,-0.49106342450436596
Photoshop,Trust,Better trust than blurry.,Better safe than sorry.,-0.5990164817077513
Photoshop,Trust,Trust is the glue of your creativity.,Trust is the glue of life.,-0.491606735953075
Photoshop,Trust,The right Photoshop for every project.,the right tool...,-0.5996329803264713
Photoshop,Trust,Photoshop is the glue of creativity.,Trust is the glue of life.,-0.6292994626931214
Photoshop,Trust,"Trust in Photoshop, but keep your files secure.","Trust in God, but keep your powder dry.",-0.4631446703040509
Photoshop,Trust,Photoshop is forever secure.,Diamonds are forever.,-0.5053976951333248
Photoshop,Trust,Trust in every edit.,Safety in numbers.,-0.43581113424202617
Coca-Cola,Fear,You only savor once.,Strike while the iron is hot.,-0.39101222348252884
