brand,persona,headline,quote
Photoshop,Anticipation,The canvas is edit-able.,
Photoshop,Anticipation,Photoshop's magic is yet to come.,The best is yet to come
Photoshop,Anticipation,What lies beneath Photoshop's layers?,What lies beneath the surface?
Photoshop,Anticipation,"Your vision's coming, you can see it in the air tonight.","Something's coming, I can feel it in the air tonight."
Photoshop,Anticipation,Photoshop's magic this way comes.,Something wicked this way comes
Photoshop,Anticipation,"The future’s so vivid, I gotta Photoshop it!","The future’s so bright, I gotta wear shades."
Photoshop,Anticipation,"The future is a blank canvas, but the future is Photoshop.","The future is a mystery, but the future is here"
Photoshop,Anticipation,"Something magical this way comes, Photoshop-style.",Something wicked this way comes
Photoshop,Anticipation,The edit is the hardest part.,The wait is the hardest part.
Creative Cloud,Trust,Trust is the foundation of creativity — Creative Cloud.,Trust is the glue of life.
Creative Cloud,Trust,Creative Cloud is the glue of creativity.,Trust is the glue of life.
Creative Cloud,Trust,Creative Cloud is the glue of creativity.,Trust is the glue of life.
Creative Cloud,Trust,Trust the Creative Cloud.,Trust the process.
Creative Cloud,Trust,Trust is the glue of creativity. – Adobe Creative Cloud.,Trust is the glue of life.
Creative Cloud,Trust,You’re in secure workspace | .,Safety first.
Creative Cloud,Trust,Trust is the foundation of creativity.,
Creative Cloud,Trust,Creative Cloud is the foundation of every trusted workflow.,Safety is the foundation of everything.
Creative Cloud,Trust,Security is the paramount safeguard with Creative Cloud.,Safety is the paramount requirement
Nike,Fear,Nike: The only thing we have to hesitate is hesitation itself.,The only thing we have to fear is fear itself.
Nike,Fear,Nike: The only thing we have to fear is missing out.,The only thing we have to fear is fear itself.
Nike,Fear,Nike strikes while the moment is hot.,Strikes while the iron is hot.
Nike,Fear,"Hurry to Nike, or you'll be left behind.","Hurry up, or you'll be left behind."
Nike,Fear,The early Nike athlete gets the win.,The early bird gets the worm.
Nike,Fear,Nike: You miss 100% of the chances you don’t take.,You miss 100% of the shots you don’t take.
Nike,Fear,Lace up or you'll miss the race!,The only thing we have to fear is fear itself.
Nike,Fear,Go Nike or miss out.,Go big or go home.
Nike,Fear,The only thing we have to fear is missing out.,The only thing we have to fear is fear itself.
Google Cloud,Pride,We are the Google Cloud Champions!,We are the champions.
Google Cloud,Pride,"We few, we happy few, we band of pioneers.","We few, we happy few, we band of brothers."
Google Cloud,Pride,Google Cloud is king of the cloud!,I'm king of the world!
Google Cloud,Pride,Pride is the Google Cloud without a rival.,Pride is the crown without a king.
Google Cloud,Pride,You're invited to the cloud of innovation.,You're invited to the top of the world.
Google Cloud,Pride,Google Cloud is the leader of the cloud world!,
